Bin #,Bin center,Flux,Error,
1,0.25,4.42E-06,5.02E-07,
2,0.75,7.34E-06,6.12E-07,
3,1.25,7.00E-06,5.54E-07,
4,1.55,9.23E-06,6.38E-07,
5,1.65,1.13E-05,7.66E-07,
6,1.75,1.37E-05,8.69E-07,
7,1.85,1.69E-05,1.01E-06,
8,1.95,2.03E-05,1.18E-06,
9,2.05,2.42E-05,1.32E-06,
10,2.15,2.80E-05,1.49E-06,
11,2.25,3.36E-05,1.71E-06,
12,2.35,3.89E-05,1.96E-06,
13,2.45,4.42E-05,2.17E-06,
14,2.55,4.93E-05,2.32E-06,
15,2.65,5.37E-05,2.42E-06,
16,2.75,5.86E-05,2.57E-06,
17,2.85,6.29E-05,2.72E-06,
18,2.95,6.68E-05,2.83E-06,
19,3.05,7.01E-05,2.95E-06,
20,3.15,7.36E-05,3.04E-06,
21,3.25,7.61E-05,3.12E-06,
22,3.35,7.84E-05,3.25E-06,
23,3.45,8.01E-05,3.27E-06,
24,3.55,8.23E-05,3.31E-06,
25,3.65,8.39E-05,3.39E-06,
26,3.75,8.47E-05,3.45E-06,
27,3.85,8.58E-05,3.49E-06,
28,3.95,8.80E-05,3.60E-06,
29,4.05,8.91E-05,3.85E-06,
30,4.15,9.05E-05,3.91E-06,
31,4.25,9.31E-05,4.04E-06,
32,4.35,9.52E-05,4.15E-06,
33,4.45,9.77E-05,4.27E-06,
34,4.55,1.01E-04,4.07E-06,
35,4.65,1.03E-04,4.20E-06,
36,4.75,1.06E-04,4.30E-06,
37,4.85,1.08E-04,4.37E-06,
38,4.95,1.11E-04,4.47E-06,
39,5.05,1.13E-04,4.53E-06,
40,5.15,1.15E-04,4.59E-06,
41,5.25,1.17E-04,4.63E-06,
42,5.35,1.20E-04,4.70E-06,
43,5.45,1.21E-04,4.69E-06,
44,5.55,1.22E-04,4.70E-06,
45,5.65,1.23E-04,4.67E-06,
46,5.75,1.24E-04,4.66E-06,
47,5.85,1.24E-04,4.61E-06,
48,5.95,1.23E-04,4.55E-06,
49,6.05,1.22E-04,4.29E-06,
50,6.15,1.21E-04,4.20E-06,
51,6.25,1.20E-04,4.13E-06,
52,6.35,1.18E-04,4.04E-06,
53,6.45,1.15E-04,3.94E-06,
54,6.55,1.12E-04,3.85E-06,
55,6.65,1.09E-04,3.71E-06,
56,6.75,1.05E-04,3.60E-06,
57,6.85,1.01E-04,3.46E-06,
58,6.95,9.67E-05,3.31E-06,
59,7.05,9.21E-05,3.67E-06,
60,7.15,8.71E-05,3.46E-06,
61,7.25,8.26E-05,3.32E-06,
62,7.35,7.80E-05,3.14E-06,
63,7.45,7.29E-05,2.95E-06,
64,7.55,6.87E-05,2.69E-06,
65,7.65,6.38E-05,2.52E-06,
66,7.75,5.91E-05,2.34E-06,
67,7.85,5.51E-05,2.20E-06,
68,7.95,5.13E-05,2.06E-06,
69,8.05,4.76E-05,1.83E-06,
70,8.15,4.40E-05,1.69E-06,
71,8.25,4.09E-05,1.59E-06,
72,8.35,3.73E-05,1.46E-06,
73,8.45,3.47E-05,1.37E-06,
74,8.55,3.19E-05,2.03E-06,
75,8.65,2.93E-05,1.86E-06,
76,8.75,2.69E-05,1.70E-06,
77,8.85,2.47E-05,1.57E-06,
78,8.95,2.26E-05,1.43E-06,
79,9.05,2.07E-05,1.64E-06,
80,9.15,1.92E-05,1.53E-06,
81,9.25,1.74E-05,1.38E-06,
82,9.35,1.61E-05,1.27E-06,
83,9.45,1.48E-05,1.17E-06,
84,9.55,1.36E-05,1.04E-06,
85,9.65,1.25E-05,9.58E-07,
86,9.75,1.16E-05,8.96E-07,
87,9.85,1.06E-05,8.16E-07,
88,9.95,9.74E-06,7.46E-07,
89,10.25,8.07E-06,6.40E-07,
90,10.75,5.93E-06,4.70E-07,
91,11.25,4.55E-06,3.31E-07,
92,11.75,3.73E-06,2.67E-07,
93,12.25,3.18E-06,2.17E-07,
94,12.75,2.70E-06,1.55E-07,
95,13.25,2.33E-06,1.24E-07,
96,13.75,2.07E-06,1.04E-07,
97,14.25,1.84E-06,9.06E-08,
98,14.75,1.65E-06,8.03E-08,
99,15.25,1.52E-06,7.24E-08,
100,15.75,1.38E-06,6.42E-08,
101,16.25,1.26E-06,6.40E-08,
102,16.75,1.14E-06,6.00E-08,
103,17.25,1.10E-06,5.22E-08,
104,17.75,1.02E-06,4.78E-08,
105,18.25,9.36E-07,4.89E-08,
106,18.75,8.72E-07,4.55E-08,
107,19.25,8.16E-07,4.28E-08,
108,19.75,7.67E-07,3.91E-08,
109,20.5,7.01E-07,3.84E-08,
110,21.5,6.32E-07,3.40E-08,
111,22.5,5.51E-07,3.32E-08,
112,23.5,4.76E-07,4.78E-08,
113,24.5,4.16E-07,5.11E-08,
114,25.5,3.62E-07,4.55E-08,
115,26.5,3.28E-07,3.93E-08,
116,27.5,2.97E-07,3.31E-08,
117,28.5,2.74E-07,3.08E-08,
118,29.5,2.51E-07,3.01E-08,
119,32.5,1.85E-07,1.94E-08,
120,37.5,1.21E-07,1.31E-08,
121,42.5,8.54E-08,1.75E-08,
122,47.5,5.74E-08,1.20E-08,
123,52.5,3.23E-08,6.35E-09,
124,57.5,1.34E-08,3.64E-09,
125,65,5.42E-09,1.72E-09,
126,75,1.55E-09,4.71E-10,
127,85,3.56E-10,1.27E-10,
128,95,4.59E-22,2.06E-12,
